IdFilm,Titre,Genres
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,French Twist (Gazon maudit) (1995),ComÈdie|Romance
69,Friday (1995),ComÈdie
70,From Dusk Till Dawn (1996),Action|ComÈdie|Horreur|Thriller
71,Fair Game (1995),Action
72,Kicking and Screaming (1995),ComÈdie|Drame
73,"Mis√©rables, Les (1995)",Drame|Guerre
74,Bed of Roses (1996),Drame|Romance
75,Big Bully (1996),ComÈdie|Drame
76,Screamers (1995),Action|Sci-Fi|Thriller
77,Nico Icon (1995),Documentaire
78,"Crossing Guard, The (1995)",Action|Crime|Drame|Thriller
79,"Juror, The (1996)",Drame|Thriller
80,"White Balloon, The (Badkonake sefid) (1995)",Enfants|Drame
81,Things to Do in Denver When You're Dead (1995),Crime|Drame|Romance
82,Antonia's Line (Antonia) (1995),ComÈdie|Drame
83,Once Upon a Time... When We Were Colored (1995),Drame|Romance
85,Angels and Insects (1995),Drame|Romance
86,White Squall (1996),Action|Aventure|Drame
87,Dunston Checks In (1996),Enfants|ComÈdie
88,Black Sheep (1996),ComÈdie
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drame|Horreur|Thriller
93,Vampire in Brooklyn (1995),ComÈdie|Horreur|Romance
94,Beautiful Girls (1996),ComÈdie|Drame|Romance
95,Broken Arrow (1996),Action|Aventure|Thriller
96,In the Bleak Midwinter (1995),ComÈdie|Drame
97,"Hate (Haine, La) (1995)",Crime|Drame
99,Heidi Fleiss: Hollywood Madam (1995),Documentaire
100,City Hall (1996),Drame|Thriller
101,Bottle Rocket (1996),Aventure|ComÈdie|Crime|Romance
102,Mr. Wrong (1996),ComÈdie
103,Unforgettable (1996),MystËre|Sci-Fi|Thriller
104,Happy Gilmore (1996),ComÈdie
105,"Bridges of Madison County, The (1995)",Drame|Romance
106,Nobody Loves Me (Keiner liebt mich) (1994),ComÈdie|Drame
107,Muppet Treasure Island (1996),Aventure|Enfants|ComÈdie|Musicale
108,Catwalk (1996),Documentaire
110,Braveheart (1995),Action|Drame|Guerre
111,Taxi Driver (1976),Crime|Drame|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Aventure|ComÈdie|Crime
113,Before and After (1996),Drame|MystËre
116,Anne Frank Remembered (1995),Documentaire
117,"Young Poisoner's Handbook, The (1995)",Crime|Drame
118,If Lucy Fell (1996),ComÈdie|Romance
119,"Steal Big, Steal Little (1995)",ComÈdie
121,"Boys of St. Vincent, The (1992)",Drame
122,Boomerang (1992),ComÈdie|Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drame|MystËre|Romance
125,Flirting With Disaster (1996),ComÈdie
126,"NeverEnding Story III, The (1994)",Aventure|Enfants|Fantaisie
128,Jupiter's Wife (1994),Documentaire
129,Pie in the Sky (1996),ComÈdie|Romance
132,Jade (1995),Thriller
135,Down Periscope (1996),ComÈdie
137,Man of the Year (1995),Documentaire
140,Up Close and Personal (1996),Drame|Romance
141,"Birdcage, The (1996)",ComÈdie
144,"Brothers McMullen, The (1995)",ComÈdie
145,Bad Boys (1995),Action|ComÈdie|Crime|Drame|Thriller
146,"Amazing Panda Aventure, The (1995)",Aventure|Enfants
147,"Basketball Diaries, The (1995)",Drame
148,"Awfully Big Aventure, An (1995)",Drame
149,Amateur (1994),Crime|Drame|Thriller
150,Apollo 13 (1995),Aventure|Drame|IMAX
151,Rob Roy (1995),Action|Drame|Romance|Guerre
152,"Addiction, The (1995)",Drame|Horreur
153,Batman Forever (1995),Action|Aventure|ComÈdie|Crime
154,Beauty of the Day (Belle de jour) (1967),Drame
155,Beyond Rangoon (1995),Aventure|Drame|Guerre
156,Blue in the Face (1995),ComÈdie|Drame
157,Canadian Bacon (1995),ComÈdie|Guerre
158,Casper (1995),Aventure|Enfants
159,Clockers (1995),Crime|Drame|MystËre
160,Congo (1995),Action|Aventure|MystËre|Sci-Fi
161,Crimson Tide (1995),Drame|Thriller|Guerre
162,Crumb (1994),Documentaire
163,Desperado (1995),Action|Romance|Occidentale
164,Devil in a Blue Dress (1995),Crime|Film-Noir|MystËre|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,"Doom Generation, The (1995)",ComÈdie|Crime|Drame
168,First Knight (1995),Action|Drame|Romance
169,Free Willy 2: The Aventure Home (1995),Aventure|Enfants|Drame
170,Hackers (1995),Action|Aventure|Crime|Thriller
171,Jeffrey (1995),ComÈdie|Drame
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
174,Jury Duty (1995),ComÈdie
175,Kids (1995),Drame
176,Living in Oblivion (1995),ComÈdie
177,Lord of Illusions (1995),Horreur
178,Love & Human Remains (1993),ComÈdie|Drame
179,Mad Love (1995),Drame|Romance
180,Mallrats (1995),ComÈdie|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Enfants
183,Mute Witness (1994),ComÈdie|Horreur|Thriller
184,Nadja (1994),Drame
185,"Net, The (1995)",Action|Crime|Thriller
186,Nine Months (1995),ComÈdie|Romance
187,Party Girl (1995),ComÈdie
188,"Prophecy, The (1995)",Fantaisie|Horreur|MystËre
189,Reckless (1995),ComÈdie|Fantaisie
190,Safe (1995),Thriller
191,"Scarlet Letter, The (1995)",Drame|Romance
193,Showgirls (1995),Drame
194,Smoke (1995),ComÈdie|Drame
195,Something to Talk About (1995),ComÈdie|Drame|Romance
196,Species (1995),Horreur|Sci-Fi
198,Strange Days (1995),Action|Crime|Drame|MystËre|Sci-Fi|Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drame|Musicale|Romance
201,Three Wishes (1995),Drame|Fantaisie
202,Total Eclipse (1995),Drame|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",ComÈdie
204,Under Siege 2: Dark Territory (1995),Action
205,Unstrung Heroes (1995),ComÈdie|Drame
206,Unzipped (1995),Documentaire
207,"Walk in the Clouds, A (1995)",Drame|Romance
208,Waterworld (1995),Action|Aventure|Sci-Fi
209,White Man's Burden (1995),Drame
210,Wild Bill (1995),Occidentale
211,"Browning Version, The (1994)",Drame
212,Bushwhacked (1995),Aventure|ComÈdie|Crime|MystËre
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drame
214,Before the Rain (Pred dozhdot) (1994),Drame|Guerre
215,Before Sunrise (1995),Drame|Romance
216,Billy Madison (1995),ComÈdie
217,"Babysitter, The (1995)",Drame|Thriller
218,Boys on the Side (1995),ComÈdie|Drame
219,"Cure, The (1995)",Drame
220,Castle Freak (1995),Horreur
222,Circle of Friends (1995),Drame|Romance
223,Clerks (1994),ComÈdie
224,Don Juan DeMarco (1995),ComÈdie|Drame|Romance
225,Disclosure (1994),Drame|Thriller
227,Drop Zone (1994),Action|Thriller
228,Destiny Turns on the Radio (1995),ComÈdie
229,Death and the Maiden (1994),Drame|Thriller
230,Dolores Claiborne (1995),Drame|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Aventure|ComÈdie
232,Eat Drink Man Woman (Yin shi nan nu) (1994),ComÈdie|Drame|Romance
233,Exotica (1994),Drame
234,Exit to Eden (1994),ComÈdie
235,Ed Wood (1994),ComÈdie|Drame
236,French Kiss (1995),Action|ComÈdie|Romance
237,Forget Paris (1995),ComÈdie|Romance
238,Far From Home: The Aventures of Yellow Dog (1995),Aventure|Enfants
239,"Goofy Movie, A (1995)",Animation|Enfants|ComÈdie|Romance
240,Hideaway (1995),Thriller
241,Fluke (1995),Enfants|Drame
242,Farinelli: il castrato (1994),Drame|Musicale
243,Gordy (1995),Enfants|ComÈdie|Fantaisie
246,Hoop Dreams (1994),Documentaire
247,Heavenly Creatures (1994),Crime|Drame
248,Houseguest (1994),ComÈdie
249,Immortal Beloved (1994),Drame|Romance
250,Heavyweights (Heavy Weights) (1995),Enfants|ComÈdie
251,"Hunted, The (1995)",Action
252,I.Q. (1994),ComÈdie|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drame|Horreur
254,Jefferson in Paris (1995),Drame
255,"Jerky Boys, The (1995)",ComÈdie
256,Junior (1994),ComÈdie|Sci-Fi
257,Just Cause (1995),MystËre|Thriller
258,"Kid in King Arthur's Court, A (1995)",Aventure|Enfants|ComÈdie|Fantaisie|Romance
259,Kiss of Death (1995),Crime|Drame|Thriller
260,Star Guerres: Episode IV - A New Hope (1977),Action|Aventure|Sci-Fi
261,Little Women (1994),Drame
262,"Little Princess, A (1995)",Enfants|Drame
263,Ladybird Ladybird (1994),Drame
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drame|Fantaisie|Romance
266,Legends of the Fall (1994),Drame|Romance|Guerre|Occidentale
267,Major Payne (1995),ComÈdie
269,My Crazy Life (Mi vida loca) (1993),Drame
270,Love Affair (1994),Drame|Romance
271,Losing Isaiah (1995),Drame
272,"Madness of King George, The (1994)",ComÈdie|Drame
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drame|Horreur|Sci-Fi
274,Man of the House (1995),ComÈdie
275,Mixed Nuts (1994),ComÈdie
276,Milk Money (1994),ComÈdie|Romance
277,Miracle on 34th Street (1994),Drame
278,Miami Rhapsody (1995),ComÈdie
279,My Family (1995),Drame
280,Murder in the First (1995),Drame|Thriller
281,Nobody's Fool (1994),ComÈdie|Drame|Romance
282,Nell (1994),Drame
283,New Jersey Drive (1995),Crime|Drame
284,New York Cop (Ny√ª Y√¥ku no koppu) (1993),Action|Crime
285,Beyond Bedlam (1993),Drame|Horreur
287,Nina Takes a Lover (1994),ComÈdie|Romance
288,Natural Born Killers (1994),Action|Crime|Thriller
289,Only You (1994),ComÈdie|Romance
290,Once Were Guerreriors (1994),Crime|Drame
291,Poison Ivy II (1996),Drame|Thriller
292,Outbreak (1995),Action|Drame|Sci-Fi|Thriller
293,L√©on: The Professional (a.k.a. The Professional) (L√©on) (1994),Action|Crime|Drame|Thriller
294,"Perez Family, The (1995)",ComÈdie|Romance
295,"Pyromaniac's Love Story, A (1995)",ComÈdie|Romance
296,Pulp Fiction (1994),ComÈdie|Crime|Drame|Thriller
298,Pushing Hands (Tui shou) (1992),Drame
299,Priest (1994),Drame
300,Quiz Show (1994),Drame
301,Picture Bride (Bijo photo) (1994),Drame|Romance
302,"Queen Margot (Reine Margot, La) (1994)",Drame|Romance
303,"Quick and the Dead, The (1995)",Action|Thriller|Occidentale
304,Roommates (1995),ComÈdie|Drame
305,Ready to Wear (Pret-A-Porter) (1994),ComÈdie
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drame
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drame
308,Three Colors: White (Trzy kolory: Bialy) (1994),ComÈdie|Drame
310,Rent-a-Kid (1995),ComÈdie
311,Relative Fear (1994),Horreur|Thriller
312,Stuart Saves His Family (1995),ComÈdie
313,"Swan Princess, The (1994)",Animation|Enfants
314,"Secret of Roan Inish, The (1994)",Enfants|Drame|Fantaisie|MystËre
315,"Specialist, The (1994)",Action|Drame|Thriller
316,Stargate (1994),Action|Aventure|Sci-Fi
317,"Santa Clause, The (1994)",ComÈdie|Drame|Fantaisie
318,"Shawshank Redemption, The (1994)",Crime|Drame
319,Shallow Grave (1994),ComÈdie|Drame|Thriller
320,Suture (1993),Film-Noir|Thriller
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drame
322,Swimming with Sharks (1995),ComÈdie|Drame
324,"Sum of Us, The (1994)",ComÈdie|Drame
325,National Lampoon's Senior Trip (1995),ComÈdie
326,To Live (Huozhe) (1994),Drame
327,Tank Girl (1995),Action|ComÈdie|Sci-Fi
328,Tales from the Crypt Presents: Demon Knight (1995),Horreur|Thriller
329,Star Trek: Generations (1994),Aventure|Drame|Sci-Fi
330,Tales from the Hood (1995),Action|Crime|Horreur
331,Tom & Viv (1994),Drame
332,Village of the Damned (1995),Horreur|Sci-Fi
333,Tommy Boy (1995),ComÈdie
334,Vanya on 42nd Street (1994),Drame
335,Underneath (1995),MystËre|Thriller
336,"Walking Dead, The (1995)",Drame|Guerre
337,What's Eating Gilbert Grape (1993),Drame
338,Virtuosity (1995),Action|Sci-Fi|Thriller
339,While You Were Sleeping (1995),ComÈdie|Romance
340,"Guerre, The (1994)",Aventure|Drame|Guerre
341,Double Happiness (1994),Drame
342,Muriel's Wedding (1994),ComÈdie
343,"Baby-Sitters Club, The (1995)",Enfants
344,Ace Ventura: Pet Detective (1994),ComÈdie
345,"Aventures of Priscilla, Queen of the Desert, The (1994)",ComÈdie|Drame
346,Backbeat (1993),Drame|Musicale
347,Bitter Moon (1992),Drame|Film-Noir|Romance
348,Bullets Over Broadway (1994),ComÈdie
349,Clear and Present Danger (1994),Action|Crime|Drame|Thriller
350,"Client, The (1994)",Drame|MystËre|Thriller
351,"Corrina, Corrina (1994)",ComÈdie|Drame|Romance
352,Crooklyn (1994),ComÈdie|Drame
353,"Crow, The (1994)",Action|Crime|Fantaisie|Thriller
354,Cobb (1994),Drame
355,"Flintstones, The (1994)",Enfants|ComÈdie|Fantaisie
356,Forrest Gump (1994),ComÈdie|Drame|Romance|Guerre
357,Four Weddings and a Funeral (1994),ComÈdie|Romance
358,Higher Learning (1995),Drame
359,I Like It Like That (1994),ComÈdie|Drame|Romance
360,I Love Trouble (1994),Action|ComÈdie
361,It Could Happen to You (1994),ComÈdie|Drame|Romance
362,"Jungle Book, The (1994)",Aventure|Enfants|Romance
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentaire
364,"Lion King, The (1994)",Aventure|Animation|Enfants|Drame|Musicale|IMAX
365,Little Buddha (1993),Drame
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drame|Horreur|MystËre|Thriller
367,"Mask, The (1994)",Action|ComÈdie|Crime|Fantaisie
368,Maverick (1994),Aventure|ComÈdie|Occidentale
369,Mrs. Parker and the Vicious Circle (1994),Drame
370,Naked Gun 33 1/3: The Final Insult (1994),Action|ComÈdie
371,"Paper, The (1994)",ComÈdie|Drame
372,Reality Bites (1994),ComÈdie|Drame|Romance
373,Red Rock West (1992),Thriller
374,Richie Rich (1994),Enfants|ComÈdie
376,"River Wild, The (1994)",Action|Thriller
377,Speed (1994),Action|Romance|Thriller
378,Speechless (1994),ComÈdie|Romance
379,Timecop (1994),Action|Sci-Fi|Thriller
380,True Lies (1994),Action|Aventure|ComÈdie|Romance|Thriller
381,When a Man Loves a Woman (1994),Drame|Romance
382,Wolf (1994),Drame|Horreur|Romance|Thriller
383,Wyatt Earp (1994),Occidentale
384,Bad Company (1995),Action|Crime|Drame
385,"Man of No Importance, A (1994)",Drame
386,S.F.W. (1994),Drame
387,"Low Down Dirty Shame, A (1994)",Action|ComÈdie
388,Boys Life (1995),Drame
389,"Colonel Chabert, Le (1994)",Drame|Romance|Guerre
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drame
391,Jason's Lyric (1994),Crime|Drame
393,Street Fighter (1994),Action|Aventure|Fantaisie
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantaisie
406,Federal Hill (1994),Drame
407,In the Mouth of Madness (1995),Horreur|Thriller
408,8 Seconds (1994),Drame
409,Above the Rim (1994),Crime|Drame
410,Addams Family Values (1993),Enfants|ComÈdie|Fantaisie
412,"Age of Innocence, The (1993)",Drame
413,Airheads (1994),ComÈdie
414,"Air Up There, The (1994)",ComÈdie
415,Another Stakeout (1993),ComÈdie|Thriller
416,Bad Girls (1994),Occidentale
417,Barcelona (1994),ComÈdie|Romance
418,Being Human (1993),Drame
419,"Beverly Hillbillies, The (1993)",ComÈdie
420,Beverly Hills Cop III (1994),Action|ComÈdie|Crime|Thriller
421,Black Beauty (1994),Aventure|Enfants|Drame
422,Blink (1994),Thriller
423,Blown Away (1994),Action|Thriller
424,Blue Chips (1994),Drame
425,Blue Sky (1994),Drame|Romance
426,Body Snatchers (1993),Horreur|Sci-Fi|Thriller
427,Boxing Helena (1993),Drame|MystËre|Romance|Thriller
428,"Bronx Tale, A (1993)",Drame
429,Cabin Boy (1994),ComÈdie
430,Calendar Girl (1993),ComÈdie|Drame
431,Carlito's Way (1993),Crime|Drame
432,City Slickers II: The Legend of Curly's Gold (1994),Aventure|ComÈdie|Occidentale
433,Clean Slate (1994),ComÈdie
434,Cliffhanger (1993),Action|Aventure|Thriller
435,Coneheads (1993),ComÈdie|Sci-Fi
436,Color of Night (1994),Drame|Thriller
437,Cops and Robbersons (1994),ComÈdie
438,"Cowboy Way, The (1994)",Action|ComÈdie|Drame
440,Dave (1993),ComÈdie|Romance
441,Dazed and Confused (1993),ComÈdie
442,Demolition Man (1993),Action|Aventure|Sci-Fi
444,Even Cowgirls Get the Blues (1993),ComÈdie|Romance
445,Fatal Instinct (1993),ComÈdie
446,Farewell My Concubine (Ba wang bie ji) (1993),Drame|Romance
448,Fearless (1993),Drame
449,Fear of a Black Hat (1994),ComÈdie
450,With Honors (1994),ComÈdie|Drame
451,Flesh and Bone (1993),Drame|MystËre|Romance
452,Widows' Peak (1994),Drame
453,For Love or Money (1993),ComÈdie|Romance
454,"Firm, The (1993)",Drame|Thriller
455,Free Willy (1993),Aventure|Enfants|Drame
456,Fresh (1994),Crime|Drame|Thriller
457,"Fugitive, The (1993)",Thriller
458,Geronimo: An American Legend (1993),Drame|Occidentale
459,"Getaway, The (1994)",Action|Aventure|Crime|Drame|Romance|Thriller
460,Getting Even with Dad (1994),ComÈdie
461,Go Fish (1994),Drame|Romance
464,Hard Target (1993),Action|Aventure|Crime|Thriller
466,Hot Shots! Part Deux (1993),Action|ComÈdie|Guerre
467,Live Nude Girls (1995),ComÈdie
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",ComÈdie|Romance
469,"House of the Spirits, The (1993)",Drame|Romance
470,House Party 3 (1994),ComÈdie
471,"Hudsucker Proxy, The (1994)",ComÈdie
472,I'll Do Anything (1994),ComÈdie|Drame
473,In the Army Now (1994),ComÈdie|Guerre
474,In the Line of Fire (1993),Action|Thriller
475,In the Name of the Father (1993),Drame
476,"Inkwell, The (1994)",ComÈdie|Drame
477,What's Love Got to Do with It? (1993),Drame|Musicale
478,Jimmy Hollywood (1994),ComÈdie|Crime|Drame
479,Judgment Night (1993),Action|Crime|Thriller
480,Jurassic Park (1993),Action|Aventure|Sci-Fi|Thriller
481,Kalifornia (1993),Drame|Thriller
482,Killing Zoe (1994),Crime|Drame|Thriller
484,Lassie (1994),Aventure|Enfants
485,Last Action Hero (1993),Action|Aventure|ComÈdie|Fantaisie
486,Life with Mikey (1993),ComÈdie
487,Lightning Jack (1994),ComÈdie|Occidentale
488,M. Butterfly (1993),Drame|Romance
489,Made in America (1993),ComÈdie
490,Malice (1993),Thriller
491,"Man Without a Face, The (1993)",Drame
492,Manhattan Murder MystËre (1993),ComÈdie|MystËre
493,Menace II Society (1993),Action|Crime|Drame
494,Executive Decision (1996),Action|Aventure|Thriller
495,In the Realm of the Senses (Ai no corrida) (1976),Drame
496,What Happened Was... (1994),ComÈdie|Drame|Romance|Thriller
497,Much Ado About Nothing (1993),ComÈdie|Romance
499,Mr. Wonderful (1993),ComÈdie|Romance
500,Mrs. Doubtfire (1993),ComÈdie|Drame
501,Naked (1993),Drame
502,"Next Karate Kid, The (1994)",Action|Enfants|Romance
504,No Escape (1994),Action|Drame|Sci-Fi
505,North (1994),ComÈdie
506,Orlando (1992),Drame|Fantaisie|Romance
507,"Perfect World, A (1993)",Crime|Drame|Thriller
508,Philadelphia (1993),Drame
509,"Piano, The (1993)",Drame|Romance
510,Poetic Justice (1993),Drame
511,"Program, The (1993)",Action|Drame
512,"Puppet Masters, The (1994)",Horreur|Sci-Fi
513,Radioland Murders (1994),ComÈdie|MystËre|Romance
514,"Ref, The (1994)",ComÈdie
515,"Remains of the Day, The (1993)",Drame|Romance
516,Renaissance Man (1994),ComÈdie|Drame
517,Rising Sun (1993),Action|Drame|MystËre
518,"Road to Wellville, The (1994)",ComÈdie
519,RoboCop 3 (1993),Action|Crime|Drame|Sci-Fi|Thriller
520,Robin Hood: Men in Tights (1993),ComÈdie
521,Romeo Is Bleeding (1993),Crime|Thriller
522,Romper Stomper (1992),Action|Drame
523,Ruby in Paradise (1993),Drame
524,Rudy (1993),Drame
526,"Savage Nights (Nuits fauves, Les) (1992)",Drame
527,Schindler's List (1993),Drame|Guerre
528,"Scout, The (1994)",ComÈdie|Drame
529,Searching for Bobby Fischer (1993),Drame
531,"Secret Garden, The (1993)",Enfants|Drame
532,Serial Mom (1994),ComÈdie|Crime|Horreur
533,"Shadow, The (1994)",Action|Aventure|Fantaisie|MystËre
534,Shadowlands (1993),Drame|Romance
535,Short Cuts (1993),Drame
536,"Simple Twist of Fate, A (1994)",Drame
537,Sirens (1994),Drame
538,Six Degrees of Separation (1993),Drame
539,Sleepless in Seattle (1993),ComÈdie|Drame|Romance
540,Sliver (1993),Thriller
541,Blade Runner (1982),Action|Sci-Fi|Thriller
542,Son in Law (1993),ComÈdie|Drame|Romance
543,So I Married an Axe Murderer (1993),ComÈdie|Romance|Thriller
544,Striking Distance (1993),Action|Crime
546,Super Mario Bros. (1993),Action|Aventure|Enfants|ComÈdie|Fantaisie|Sci-Fi
547,Surviving the Game (1994),Action|Aventure|Thriller
548,Terminal Velocity (1994),Action|MystËre|Thriller
549,Thirty-Two Short Films About Glenn Gould (1993),Drame|Musicale
550,Threesome (1994),ComÈdie|Romance
551,"Nightmare Before Christmas, The (1993)",Animation|Enfants|Fantaisie|Musicale
552,"Three Musketeers, The (1993)",Action|Aventure|ComÈdie|Romance
553,Tombstone (1993),Action|Drame|Occidentale
555,True Romance (1993),Crime|Thriller
556,"Guerre Room, The (1993)",Documentaire
558,"Pagemaster, The (1994)",Action|Aventure|Animation|Enfants|Fantaisie
562,Welcome to the Dollhouse (1995),ComÈdie|Drame
563,Germinal (1993),Drame|Romance
564,Chasers (1994),ComÈdie
567,Kika (1993),ComÈdie|Drame
568,Bhaji on the Beach (1993),ComÈdie|Drame
569,Little Big League (1994),ComÈdie|Drame
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drame
574,Spanking the Monkey (1994),ComÈdie|Drame
575,"Little Rascals, The (1994)",Enfants|ComÈdie
577,Andre (1994),Aventure|Enfants|Drame
579,"Escort, The (Scorta, La) (1993)",Crime|Thriller
580,Princess Caraboo (1994),Drame
581,"Celluloid Closet, The (1995)",Documentaire
583,Dear Diary (Caro Diario) (1994),ComÈdie|Drame
585,"Brady Bunch Movie, The (1995)",ComÈdie
586,Home Alone (1990),Enfants|ComÈdie
587,Ghost (1990),ComÈdie|Drame|Fantaisie|Romance|Thriller
588,Aladdin (1992),Aventure|Animation|Enfants|ComÈdie|Musicale
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Aventure|Drame|Occidentale
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horreur|Thriller
594,Snow White and the Seven DGuerrefs (1937),Animation|Enfants|Drame|Fantaisie|Musicale
595,Beauty and the Beast (1991),Animation|Enfants|Fantaisie|Musicale|Romance|IMAX
596,Pinocchio (1940),Animation|Enfants|Fantaisie|Musicale
597,Pretty Woman (1990),ComÈdie|Romance
599,"Wild Bunch, The (1969)",Aventure|Occidentale
600,Love and a .45 (1994),Action|ComÈdie|Crime
602,"Great Day in Harlem, A (1994)",Documentaire
605,One Fine Day (1996),Drame|Romance
606,Candyman: Farewell to the Flesh (1995),Fantaisie|Horreur
608,Fargo (1996),ComÈdie|Crime|Drame|Thriller
609,HomeGuerred Bound II: Lost in San Francisco (1996),Aventure|Enfants
610,Heavy Metal (1981),Action|Aventure|Animation|Horreur|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horreur|Sci-Fi
612,"Pallbearer, The (1996)",ComÈdie
613,Jane Eyre (1996),Drame|Romance
615,Bread and Chocolate (Pane e cioccolata) (1973),ComÈdie|Drame
616,"Aristocats, The (1970)",Animation|Enfants
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",ComÈdie|Drame
618,Two Much (1995),ComÈdie|Romance
619,Ed (1996),ComÈdie
626,"Thin Line Between Love and Hate, A (1996)",ComÈdie
627,"Last Supper, The (1995)",Drame|Thriller
628,Primal Fear (1996),Crime|Drame|MystËre|Thriller
631,All Dogs Go to Heaven 2 (1996),Aventure|Animation|Enfants|Fantaisie|Musicale|Romance
632,Land and Freedom (Tierra y libertad) (1995),Drame|Guerre
633,Denise Calls Up (1995),ComÈdie
634,Theodore Rex (1995),ComÈdie
635,"Family Thing, A (1996)",ComÈdie|Drame
636,Frisk (1995),Drame
